BurnBlock,Area,Starts,Prob
1726,2162,0,0
1727,4906,2,0.001226994
1728,5227,1,0.000613497
1729,4674,1,0.000613497
1730,396,0,0
1731,2433,1,0.000613497
1732,3050,0,0
1733,5061,12,0.007361963
1734,1993,8,0.004907975
1735,1840,3,0.001840491
1736,2480,1,0.000613497
1737,2468,0,0
1738,1028,0,0
1739,1084,0,0
1740,1644,0,0
1741,1785,2,0.001226994
1742,3019,4,0.002453988
1743,4067,1,0.000613497
1744,345,0,0
1745,1133,0,0
1746,500,0,0
1747,4902,4,0.002453988
1748,959,2,0.001226994
1749,797,0,0
1750,1413,0,0
1751,1602,0,0
1752,2433,0,0
1753,584,0,0
1754,2729,1,0.000613497
1755,442,1,0.000613497
1756,3540,0,0
1757,1313,0,0
1758,4914,1,0.000613497
1759,1685,1,0.000613497
1760,6427,1,0.000613497
1761,998,0,0
1762,1301,0,0
1763,353,0,0
1764,750,1,0.000613497
1765,2312,0,0
1766,2194,3,0.001840491
1767,4679,1,0.000613497
1768,7081,5,0.003067485
1769,1154,2,0.001226994
1770,3202,2,0.001226994
1771,1155,0,0
1772,959,0,0
1773,596,0,0
1774,1459,0,0
1775,506,0,0
1776,1771,1,0.000613497
1777,4116,0,0
1778,1399,0,0
1779,791,0,0
1780,550,0,0
1781,476,1,0.000613497
1782,521,1,0.000613497
1783,2526,6,0.003680982
1784,376,2,0.001226994
1785,1201,2,0.001226994
1786,691,0,0
1787,967,0,0
1788,2994,1,0.000613497
1789,798,0,0
1790,2950,2,0.001226994
1791,919,2,0.001226994
1792,1703,1,0.000613497
1793,1068,0,0
1794,1535,0,0
1795,1708,2,0.001226994
1796,1044,0,0
1797,776,0,0
1798,1169,1,0.000613497
1799,2268,0,0
1800,1543,0,0
1802,406,0,0
1803,506,0,0
1804,1348,2,0.001226994
1805,636,0,0
1806,707,0,0
1807,1530,1,0.000613497
1808,1435,0,0
1809,1617,1,0.000613497
1810,2317,0,0
1811,3833,0,0
1812,1157,0,0
1813,1491,0,0
1814,391,0,0
1815,1295,0,0
1816,1539,1,0.000613497
1817,800,0,0
1818,978,0,0
1819,977,1,0.000613497
1820,1776,0,0
1821,1250,0,0
1822,2877,0,0
1823,1827,0,0
1824,1359,0,0
1825,525,0,0
1826,2293,2,0.001226994
1827,678,0,0
1828,1359,0,0
1829,1470,0,0
1830,2641,2,0.001226994
1831,618,0,0
1832,592,0,0
1833,4758,1,0.000613497
1834,762,0,0
1835,1036,0,0
1836,1045,0,0
1837,994,0,0
1838,1453,0,0
1839,1618,0,0
1840,2466,0,0
1841,2161,2,0.001226994
1842,3236,1,0.000613497
1843,1397,0,0
1844,1287,0,0
1845,2821,0,0
1846,1147,1,0.000613497
1847,826,0,0
1848,2603,1,0.000613497
1849,906,0,0
1850,766,0,0
1851,928,0,0
1852,1489,0,0
1853,717,0,0
1854,1139,0,0
1855,3613,0,0
1856,1602,0,0
1857,1385,0,0
1858,1334,0,0
1859,981,0,0
1860,872,0,0
1861,478,1,0.000613497
1862,488,2,0.001226994
1863,1167,0,0
1864,3841,0,0
1865,844,0,0
1866,2293,0,0
