BurnBlock,Area,BANSA,CCA,NotCCA,MIST,NS,RS,TestArea
1569,728,1,2,1,1,1,1,1
1570,8811,1,2,1,1,1,1,1
1571,2985,1,2,1,2,1,1,1
1572,2032,1,2,1,2,1,1,1
1573,1672,1,1,2,1,1,1,1
1574,1415,1,2,1,1,1,1,1
1575,2242,1,1,2,1,1,1,1
1576,6035,1,1,2,1,1,1,1
1577,4019,1,1,2,1,1,1,1
1578,6789,1,2,1,1,1,1,1
1579,5260,1,2,1,1,1,1,1
1580,5396,1,2,1,1,1,1,1
1581,1190,1,2,1,1,1,1,1
1582,3420,1,2,1,1,1,1,1
1583,1793,1,1,2,1,1,1,1
1584,1074,1,1,2,1,1,1,1
1585,1004,1,1,2,1,1,1,1
1586,875,1,1,2,1,1,1,1
1587,543,1,2,1,1,1,1,1
1588,1382,1,1,2,1,1,1,1
1589,455,1,1,2,1,1,1,1
1590,1268,1,2,1,1,1,1,1
1591,2078,1,2,1,1,1,1,1
1592,1023,1,2,1,1,1,1,1
1593,1356,1,2,1,1,1,1,1
1594,1160,1,2,1,1,1,1,1
1595,8138,1,2,1,1,1,1,1
1596,4106,1,2,1,1,1,1,1
1597,2914,1,2,1,1,1,1,1
1598,426,1,2,1,1,1,1,1
1599,2563,1,2,1,1,1,1,1
1600,13395,1,2,1,1,1,1,1
1601,4355,1,2,1,1,1,1,1
1602,767,1,2,1,1,1,1,1
1603,1399,1,2,1,1,1,1,1
1604,4819,1,1,2,1,1,1,1
1605,3559,1,1,2,1,1,1,1
1606,728,1,2,1,1,1,1,1
1607,3008,1,1,2,1,1,2,2
1608,1400,1,1,2,1,1,1,1
1609,1240,1,2,1,1,1,1,1
1610,1493,1,2,1,1,1,1,1
1611,1359,1,1,2,1,1,1,1
1612,6886,1,1,2,1,1,1,1
1613,6654,1,1,2,1,1,1,1
1614,3337,1,2,1,1,1,2,1
1615,1972,1,2,1,1,1,1,1
1616,4278,1,2,1,1,1,1,1
1617,6279,1,2,1,1,1,2,1
1618,1940,1,2,1,1,1,1,1
1619,1639,1,2,1,1,1,1,1
1620,1002,1,1,2,1,1,1,1
1621,1827,1,2,1,1,1,1,1
1622,2882,1,2,1,1,1,1,2
1623,5257,1,2,1,1,1,2,2
1624,5140,1,2,1,1,1,2,2
1625,3464,1,2,1,1,2,1,2
1626,2056,1,2,1,1,1,1,1
1627,1101,1,2,1,1,1,1,1
1628,875,1,2,1,1,1,1,1
1629,8044,1,2,1,1,1,1,1
1630,1446,1,2,1,1,1,1,1
1631,1438,1,2,1,1,1,2,1
1632,886,1,2,1,1,1,2,1
1633,5289,1,2,1,1,1,2,1
1634,6845,1,2,1,2,1,1,1
1635,3151,1,2,1,1,1,2,1
1636,7464,1,2,1,2,1,1,2
1637,4893,1,1,2,2,1,1,2
1638,754,1,2,1,1,1,1,1
1639,929,1,1,2,1,1,1,1
1640,718,1,2,1,1,1,1,1
1641,4542,1,2,1,1,1,1,1
1642,4427,1,2,1,2,1,1,1
1643,1840,1,2,1,1,1,1,1
1644,821,1,2,1,1,1,1,1
1645,1212,1,1,2,1,1,1,1
1646,639,1,2,1,1,1,1,1
